"ATTR_VALUE","SAMPLE_COUNT","STUDY_COUNT"
"Non-Small Cell Lung Cancer",40353,52
"Breast Cancer",34435,51
"Colorectal Cancer",27212,46
"Prostate Cancer",23958,45
"Pancreatic Cancer",15620,37
"Soft Tissue Sarcoma",12701,42
"Glioma",10625,40
"Bladder Cancer",10606,43
"Endometrial Cancer",9586,29
"Esophagogastric Cancer",9356,36
"Hepatobiliary Cancer",8665,47
"Mature B-Cell Neoplasms",7099,31
"Melanoma",7037,43
"Ovarian Cancer",5779,29
"Leukemia",5764,19
"Renal Cell Carcinoma",5038,33
"Thyroid Cancer",3777,22
"Acute Myeloid Leukemia",3603,4
"Bone Cancer",3476,25
"Head and Neck Cancer",3417,23
"Cancer of Unknown Primary",3085,38
"Gastrointestinal Stromal Tumor",2980,14
"B-Lymphoblastic Leukemia/Lymphoma",2295,9
"Germ Cell Tumor",2221,22
"Peripheral Nervous System",2121,14
"Uterine Sarcoma",2066,15
"Non Small Cell Lung Cancer",2039,1
"Invasive Breast Carcinoma",2001,4
"Small Cell Lung Cancer",1840,26
"Embryonal Tumor",1721,22
"Cervical Cancer",1370,16
"Myelodysplastic Syndromes",1264,7
"Colorectal Carcinoma",1225,1
"Salivary Gland Cancer",1149,22
"Mesothelioma",1138,18
"Liver Hepatocellular Carcinoma",1133,1
"Appendiceal Cancer",1084,9
"Renal Clear Cell Carcinoma",1049,2
"B-Lymphoblastic Leukemia/Lymphoma - Phase II",1004,1
"Neuroblastoma",984,2
"Lung Adenocarcinoma",980,7
"Salivary Cancer",935,1
"Gastric Cancer",866,1
"Skin Cancer",860,4
"Wilms Tumor",850,10
"Skin Cancer, Non-Melanoma",828,19
"Glioblastoma Multiforme",816,2
"Myeloproliferative Neoplasms",724,7
"Wilms' Tumor",655,1
"Endometrial Carcinoma",643,2
"Glioblastoma",635,3
"Esophageal Carcinoma",610,1
"Lung Squamous Cell Carcinoma",610,4
"Nerve Sheath Tumor",605,17
"Colon Adenocarcinoma",604,3
"High-Grade Serous Ovarian Cancer",602,1
"Gastrointestinal Neuroendocrine Tumor",590,13
"Ovarian Epithelial Tumor",585,1
"Intrahepatic Cholangiocarcinoma",555,1
"Retinoblastoma",545,11
"Diffuse Glioma",531,2
"Head and Neck Squamous Cell Carcinoma",530,1
"Papillary Thyroid Cancer",515,1
"""Biliary Tract Cancer, NOS""",508,1
"Prostate Adenocarcinoma",502,2
"Sarcoma",501,2
"Adrenocortical Carcinoma",486,14
"Cutaneous Melanoma",473,1
"Pheochromocytoma",469,8
"Mature T and NK Neoplasms",458,13
"Small Bowel Cancer",456,11
"Stomach Adenocarcinoma",443,1
"Lung cancer",436,6
"Prostate Cancer, NOS",416,4
"Bladder Urothelial Carcinoma",413,1
"Ampullary Cancer",385,10
"Hepatocellular Carcinoma",379,1
"Thymic Tumor",353,15
"Acute Leukemias of Ambiguous Lineage - Phase III",351,1
"Extrahepatic Cholangiocarcinoma",351,1
"Renal Non-Clear Cell Carcinoma",348,2
"CNS Cancer",326,9
"Breast Carcinoma",323,1
"Cervical Squamous Cell Carcinoma",321,2
"Miscellaneous Neuroepithelial Tumor",321,12
"Uterine Endometrioid Carcinoma",316,2
"Kidney Renal Cell Carcinoma",308,1
"Anal Cancer",300,10
"Papillary Renal Cell Carcinoma",292,1
"Sellar Tumor",283,11
"Histiocytosis",278,8
"Myelodysplastic/Myeloproliferative Neoplasms",271,8
"Soft Tissue",264,1
"Ovarian Carcinoma",261,1
"Non-Seminomatous Germ Cell Tumor",244,3
"Gallbladder Carcinoma",240,1
"Osteosarcoma",235,1
"""Skin Cancer, Non-Melanoma""",228,1
"Adenocarcinoma of Gallbladder",208,1
"Rectal Adenocarcinoma",199,2
"Esophageal Adenocarcinoma",186,1
"Pancreatic Adenocarcinoma",186,1
"Bone Sarcoma",183,1
"Head and Neck Carcinoma",175,1
"Pleural Mesothelioma",174,2
"Breast",154,1
"Head and Neck Carcinoma, Other",150,1
"Blood Cancer, NOS",140,4
"Pancreas",139,1
"Sex Cord Stromal Tumor",137,7
"T-Lymphoblastic Leukemia/Lymphoma",134,8
"Rhabdoid Cancer",133,5
"Hodgkin Lymphoma",124,9
"Thymoma",124,1
"Thymic Epithelial Tumor",123,1
"Meningioma",121,1
"CNS",118,1
"Ovary/Fallopian Tube",113,1
"Miscellaneous Brain Tumor",111,12
"Carcinoma of Uterine Cervix",104,1
"Mature B-cell lymphoma",103,1
"Breast Cancer, NOS",102,4
"Urothelial Carcinoma",96,1
"Vaginal Cancer",96,10
"Cholangiocarcinoma",94,3
"Low-grade glioma/astrocytoma",93,1
"Breast Sarcoma",85,5
"Ocular Melanoma",80,1
"Uveal Melanoma",80,1
"Non-Hodgkin Lymphoma",79,9
"CNS/Brain",74,1
"Chromophobe Renal Cell Carcinoma",66,1
"Seminoma",63,1
"Uterine Corpus Endometrial Carcinoma",61,1
"Diffuse Large B-Cell Lymphoma, NOS",58,2
"Small Bowel Carcinoma",57,1
"Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor",57,1
"Primary CNS Melanocytic Tumors",46,3
