Submission ID	Issue Number	URL	Status	Title	Submitted By	Submitted At
1	2148	https://github.com/cBioPortal/datahub/issues/2148	Final Review	Proteomics data for cell lines	jjgao	2025-02-26 21:25:48
3	2137	https://github.com/cBioPortal/datahub/issues/2137	Awaiting Review	Community contribution - new Schwannomatosis  study dataset from Synodos Project by Children's Tumor Foundation	anngvu	2025-02-17 17:30:41
5	2091	https://github.com/cBioPortal/datahub/issues/2091	Preparing for Release	user request for new study: Huang, C. et al. Proteogenomic insights into the biology and treatment of HPV-negative head and neck squamous cell carcinoma.	tmazor	2024-10-29 19:55:25
6	2051	https://github.com/cBioPortal/datahub/issues/2051	Final Review	Nunes, Luis et al. Prognostic genome and transcriptome signatures in colorectal cancers. Nature 2024	LuisAlbertoSantosNunes	2024-08-08 08:14:25
8	1888	https://github.com/cBioPortal/datahub/issues/1888	Awaiting Review	CPTAC. Proteogenomic insights suggest druggable pathways in endometrial carcinoma. Cancer Cell, 2023.	jjgao	2023-08-12 16:09:51
9	1837	https://github.com/cBioPortal/datahub/issues/1837	Awaiting Review	DepMap Data Curation	Rima-Waleed	2023-06-13 17:56:22
10	1808	https://github.com/cBioPortal/datahub/issues/1808	Approved for Portal Curation	Sun, Claire Xin et al. Generation and multi-dimensional profiling of a childhood cancer cell line atlas defines new therapeutic opportunities. Cancer cell. 2023.	sbabyanusha	2023-04-10 23:14:04
12	1742	https://github.com/cBioPortal/datahub/issues/1742	Approved for Portal Curation	Curate Pediatric pancancer PCGP study	ritikakundra	2022-12-20 20:38:26
13	1258	https://github.com/cBioPortal/datahub/issues/1258	Initial Review	Papaemmanuil et al. Genomic Classification and Prognosis in Acute Myeloid Leukemia. NEJM 2016	rmadupuri	2020-09-08 22:18:44
14	1691	https://github.com/cBioPortal/datahub/issues/1691	Preparing for Release	Brady et al. The genomic landscape of pediatric acute lymphoblastic leukemia. Nature Genetics. 2022.	jjgao	2022-09-09 02:12:37
15	1690	https://github.com/cBioPortal/datahub/issues/1690	Awaiting Review	Andre et al. Genomics to select treatment for patients with metastatic breast cancer. Nature 2022.	jjgao	2022-09-09 02:03:23
16	1663	https://github.com/cBioPortal/datahub/issues/1663	Released	Church et al. Molecular profiling identifies targeted therapy opportunities in pediatric solid cancer. Nat Med. 2022	jjgao	2022-07-09 22:02:24
17	1660	https://github.com/cBioPortal/datahub/issues/1660	Awaiting Review	Aggarwal et al. - Clinical and Genomic Characterization of Treatment-Emergent Small-Cell Neuroendocrine Prostate Cancer: A Multi-institutional Prospective Study	SRodenburg	2022-07-05 10:41:44
18	1650	https://github.com/cBioPortal/datahub/issues/1650	Awaiting Review	Snyder et al. Contribution of systemic and somatic factors to clinical response and resistance to PD-L1 blockade in urothelial cancer: An exploratory multi-omic analysis. PLOS Medicine 2017	rmadupuri	2022-05-16 18:49:36
19	1645	https://github.com/cBioPortal/datahub/issues/1645	Final Review	Andrea Degasperi et al., (2022) Substitution mutational signatures in whole-genome–sequenced cancers in the UK population. Science, 2022	jjgao	2022-04-22 01:55:06
20	1639	https://github.com/cBioPortal/datahub/issues/1639	Initial Review	HTAN Datasets to Curate	ritikakundra	2022-04-01 13:46:56
21	1630	https://github.com/cBioPortal/datahub/issues/1630	Awaiting Review	Dong et al. Proteogenomic characterization identifies clinically relevant subgroups of intrahepatic cholangiocarcinoma. Cancer cell. 2022	jjgao	2022-03-15 18:44:18
22	1628	https://github.com/cBioPortal/datahub/issues/1628	Initial Review	Umeda et al. Integrated genomic analysis identifies UBTF tandem duplications as a recurrent lesion in pediatric acute myeloid leukemia. BCD 2022	jjgao	2022-03-13 01:05:16
23	1560	https://github.com/cBioPortal/datahub/issues/1560	Released	MM500	jjgao	2021-12-09 19:13:03
24	1543	https://github.com/cBioPortal/datahub/issues/1543	Preparing for Release	Moody et al. Mutational signatures in esophageal squamous cell carcinoma from eight countries with varying incidence. Nat Genet. 2021	jjgao	2021-11-25 03:05:43
25	1520	https://github.com/cBioPortal/datahub/issues/1520	Awaiting Review	Au et al. Determinants of anti-PD-1 response and resistance in clear cell renal cell carcinoma. Cancer Cell 2021	jjgao	2021-10-31 23:47:30
26	1479	https://github.com/cBioPortal/datahub/issues/1479	Curation in Progress	Curate HTAN OHSU study	inodb	2021-09-15 17:47:07
27	1447	https://github.com/cBioPortal/datahub/issues/1447	Released	AURORA. Genomic and transcriptomic analyses of breast cancer primaries and matched metastases in AURORA, the Breast International Group (BIG) molecular screening initiative. Cancer Disc. 2021	jjgao	2021-07-18 15:32:29
28	1367	https://github.com/cBioPortal/datahub/issues/1367	Initial Review	Pauline et al. Whole genome sequencing of metastatic colorectal cancer reveals prior treatment effects and specific metastasis features. Nat Comm 2021	jjgao	2021-02-07 20:39:16
29	1336	https://github.com/cBioPortal/datahub/issues/1336	Released	mantle cell lymphoma paper curation request by user	inodb	2020-12-01 22:54:52
30	1261	https://github.com/cBioPortal/datahub/issues/1261	Curation in Progress	TCGA. Comprehensive, Integrative Genomic Analysis of Diffuse Lower-Grade Gliomas. NEJM 2015	rmadupuri	2020-09-08 22:55:21
31	1693	https://github.com/cBioPortal/datahub/issues/1693	Released	Wu et al. Natural coevolution of tumor and immunoenvironment in glioblastoma. Cancer Discovery. 2022.	jjgao	2022-09-21 16:23:24
32	1256	https://github.com/cBioPortal/datahub/issues/1256	Initial Review	McPherson et al. Divergent modes of clonal spread and intraperitoneal mixing in high-grade serous ovarian cancer. Nat Genet. 2016	rmadupuri	2020-09-08 21:53:49
33	1254	https://github.com/cBioPortal/datahub/issues/1254	Preparing for Release	Fujimoto et al. Whole-genome mutational landscape of liver cancers displaying biliary phenotype reveals hepatitis impact and molecular diversity. Nat Commun 2015	rmadupuri	2020-09-08 21:49:08
34	1252	https://github.com/cBioPortal/datahub/issues/1252	Initial Review	TCGA. Comprehensive and Integrative Genomic Characterization of Hepatocellular Carcinoma. Cell 2017	rmadupuri	2020-09-08 21:41:51
35	1249	https://github.com/cBioPortal/datahub/issues/1249	Awaiting Review	Verhaak et al. Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1. Cancer Cell 2010	rmadupuri	2020-09-08 21:25:58
36	1248	https://github.com/cBioPortal/datahub/issues/1248	Approved for Portal Curation	Noushmehr et al. Identification of a CpG island methylator phenotype that defines a distinct subgroup of glioma. Cancer Cell 2010	rmadupuri	2020-09-08 21:24:30
37	1246	https://github.com/cBioPortal/datahub/issues/1246	Not Curatable	Like et al. Integrated Omics of Metastatic Colorectal Cancer. Cancer Cell 2020.	jjgao	2020-09-06 13:25:33
38	1186	https://github.com/cBioPortal/datahub/issues/1186	Not Curatable	Middleton et al. The National Lung Matrix Trial of personalized therapy in lung cancer. Nature 2020.	jjgao	2020-07-24 19:31:31
39	1175	https://github.com/cBioPortal/datahub/issues/1175	Awaiting Review	Xu et al. Integrative Proteomic Characterization of Human Lung Adenocarcinoma. Cell 2020	jjgao	2020-07-10 12:36:44
40	1174	https://github.com/cBioPortal/datahub/issues/1174	Initial Review	Chen et al. Proteogenomics of Non-smoking Lung Cancer in East Asia Delineates Molecular Signatures of Pathogenesis and Progression. Cell 2020	jjgao	2020-07-10 12:34:45
41	1173	https://github.com/cBioPortal/datahub/issues/1173	Not Curatable	CPTAC, Proteogenomic Characterization Reveals Therapeutic Vulnerabilities in Lung Adenocarcinoma, Cell 2020	jjgao	2020-07-10 12:28:17
42	1137	https://github.com/cBioPortal/datahub/issues/1137	Awaiting Review	Zviran et al. Genome-wide cell-free DNA mutational integration enables ultra-sensitive cancer monitoring. Nat Med 2020	jjgao	2020-06-01 21:08:13
43	1136	https://github.com/cBioPortal/datahub/issues/1136	Not Curatable	Ally et al. Comprehensive and Integrative Genomic Characterization of Hepatocellular Carcinoma	ritikakundra	2020-06-01 19:37:29
